id,domain,en_term,zh_preferred,zh_acceptable,zh_forbidden,definition_zh,applicable_context,risk_notes,source
T-019,tyres_thermal,load sensitivity,载荷敏感性,,压力依赖性,轮胎性能（抓地力、温度）随垂向载荷变化而变化的程度；高载荷敏感性意味着轮胎性能对下压力变化更敏感，调校难度更大。,整车气动与轮胎特性匹配、2017年新规宽胎特性分析。,STR12设计中Key特别提到轮胎载荷敏感性是未知量，直接影响悬挂与气动的架构决策。,RE2017
T-020,tyres_thermal,tyre warm-up,轮胎激活,,暖胎,在出站后头几圈通过特定驾驶方式和车辆状态将轮胎快速升温至工作窗口的过程；安全车重启后的轮胎激活是比赛中的关键时刻。,出站策略、安全车重启战术。,激活时间长短受配合物种类、赛道温度和驾驶风格影响；硬胎激活慢是常识性背景知识。,RE2017
O-001,strategy_operations,pit stop,进站,,停箱,赛车进入维修区进行轮胎更换、调整或维修的操作，是比赛策略的核心执行环节，F1静止换胎最快纪录约2秒。,进站窗口策略、轮胎管理决策。,pit stop特指维修区内的静止操作；出站（pit exit）是进站的逆过程，不可混淆。,RE2017
O-002,strategy_operations,pit window,进站窗口,,换胎时机范围,基于轮胎衰减速率、赛道位置和策略目标计算出的最优进站圈数范围，是赛道工程师的核心决策区间。,进站策略规划、多停站策略设计。,进站窗口会随比赛进程动态调整，安全车出现时通常触发提前进站判断（window opens early）。,RE2017
O-003,strategy_operations,safety car,安全车,,SC,比赛中出现危险情况时派出的限速引导车辆，强制所有赛车降速跟随行驶，是影响比赛策略的重要外部变量。,比赛策略模拟、进站时机动态调整。,安全车期间的进站（free stop）是重要的策略机会；预测安全车概率是现代F1策略工作的一部分。,RE2017
O-004,strategy_operations,race pace,比赛节奏,,正赛速度,赛车在携带燃油重量和管理轮胎的真实比赛条件下的单圈速度表现，区别于排位赛中全力一圈的时间。,策略规划、赛车竞争力综合评估。,比赛节奏与单圈最快圈（qualifying pace）是不同的性能维度；前者体现持续竞争力，后者反映峰值性能。,RE2017
O-005,strategy_operations,understeering,转向不足,,推头,赛车转向时前轴抓地力不足导致实际转向半径大于驾驶员输入转向角所对应半径的操控现象，车头"推向"弯外侧。,赛车操控特性调校、新加坡站RB19故障分析。,转向不足与转向过度（oversteer）是操控的两个极端；过度的转向不足通常导致前胎过热。,RE2024
O-006,strategy_operations,oversteer,转向过度,,甩尾,赛车转向时后轴抓地力不足导致实际转向半径小于驾驶员输入转向角的操控现象，车尾有向弯外侧滑出的趋势。,赛车操控特性调校、驾驶员风格分析。,转向过度可被驾驶员通过反打方向盘控制（controllable oversteer），也可能不可控（snap oversteer）；需区分。,RE2017
O-007,strategy_operations,setup,赛车设定,,车辆配置,对赛车可调参数（包括气动翼角、悬挂高度与硬度、束角、外倾角等）的综合配置选择，针对特定赛道条件和驾驶员需求优化。,赛道周末技术工作、车手与工程师协同工作。,设定是持续优化过程，不是一次确定的固定值；赛道温度、天气变化都会触发设定调整需求。,RE2024
O-008,strategy_operations,balance,平衡,,前后抓地力平衡,赛车在弯道中前后轴抓地力分配的主观感受，影响驾驶员的信心与圈速；过多前部平衡导致转向不足，过多后部平衡导致转向过度。,驾驶员反馈分析、赛车调校目标设定。,在讨论时需区分机械平衡（mechanical balance）和气动平衡（aero balance）两个不同维度。,RE2017
O-009,strategy_operations,stiffness,刚度,,硬度（过于口语）,结构或材料抵抗弹性变形的能力，在赛车语境中常指悬挂弹簧刚度、底盘扭转刚度或轮胎侧向刚度，直接影响赛车响应特性和轮胎接触行为。,悬挂设定分析、底盘结构评估。,刚度与强度（strength）是不同概念；刚度描述弹性变形抵抗力，强度描述断裂抵抗力。,RE2017
O-010,strategy_operations,simulation,仿真,,模拟（可接受但仿真更专业）,通过计算机模型预测赛车性能、轮胎行为或比赛进程的工程工具；F1中仿真涵盖气动CFD、整车动力学、轮胎热行为和比赛策略多个层面。,赛前准备、气动开发验证、比赛策略规划。,仿真（simulation）在工程语境特指基于物理模型的计算预测，区别于统计意义上的"模拟"；赛车工程中推荐使用仿真。,RE2017
O-011,strategy_operations,traction,牵引力,,摩擦力（过于基础）,轮胎向地面施加驱动力时产生的纵向抓地力，是加速出弯性能的决定性因素；低速弯角出弯牵引力不足是常见的操控问题。,低速弯道性能分析、新加坡站RB19问题诊断。,牵引力（traction）特指加速工况下的纵向力，与制动力（braking force）方向相反；不可混用。,RE2024
O-012,strategy_operations,lap time,圈速,,单圈时间,赛车完成一圈赛道所需的时间，是赛车综合性能的终极量化指标；通常以分钟:秒.毫秒格式表示。,赛车性能比较、升级包效果评估。,圈速受燃油重量、轮胎状态、天气条件等多种因素影响；比较圈速时需注明这些背景条件。,RE2017
O-013,strategy_operations,qualifying,排位赛,,预选赛（过时表达）,决定比赛起跑位置的专项赛事环节，F1采用Q1/Q2/Q3三段式淘汰制排位；排位赛圈速反映赛车在轮胎最新鲜、燃油最少时的峰值性能。,赛车单圈峰值性能评估、网格位置策略。,排位赛圈速不代表比赛节奏竞争力，两者受不同因素影响。,RE2024
O-014,strategy_operations,race engineer,赛道工程师,,比赛工程师,负责在赛道周末与驾驶员沟通、实时分析遥测数据、制定调校方向并协调赛中策略决策的核心技术人员，通常每位驾驶员配备专属赛道工程师。,赛车调校流程、赛中实时决策分析。,赛道工程师（race engineer）与车辆动力学工程师（vehicle dynamics engineer）是不同岗位；前者侧重赛道实时协调，后者侧重技术深度分析。,RE2017
O-015,strategy_operations,telemetry,遥测,,数据传输,将赛车传感器实时数据无线传输至维修区的技术系统，覆盖轮胎温度/压力、发动机状态、刹车温度、悬挂位移等数百个通道，是现代F1技术决策的基础数据来源。,赛道工程师工作分析、技术决策依据。,遥测数据量极大，赛道工程师需在赛中实时筛选关键信号；F1规则对遥测数据的远程指令功能有限制。,RE2024
O-016,strategy_operations,pitstop strategy,进站策略,,换胎策略,综合考虑轮胎衰减、赛道位置、对手动向和虚拟安全车概率，规划比赛进站次数、时机和配合物选择的整体策略规划。,比赛策略分析、内停/外停选择判断。,进站策略是动态决策过程，需随比赛进展不断修正；赛前规划是初始策略，赛中执行往往有较大偏差。,RE2017
O-017,strategy_operations,free stop,免费进站,,无代价进站,在安全车或虚拟安全车出现时进行的进站操作，由于赛道全体车辆降速，进站的相对时间损失大幅降低，相当于以更低代价完成换胎的策略机会。,安全车策略、进站时机判断。,免费进站不是完全没有时间损失，而是损失显著低于正常赛况进站；具体收益取决于安全车出现位置和持续时间。,RE2017
O-018,strategy_operations,constructors' championship,车队世界冠军,,制造商冠军,F1年度车队积分总冠军称号，由两位驾驶员单站积分之和累计计算，是车队综合竞争力的最高评价指标。,赛季竞争格局分析、红牛RB19统治力描述。,车队冠军（constructors'）与车手冠军（drivers'）是平行的两个年度冠军，不可混淆；一支车队通常难以同时失去其中一个而保住另一个。,RE2024
O-019,strategy_operations,drag reduction,阻力降低,,气动减阻,通过调整气动部件（如DRS翼片）或整车构型降低空气阻力、提升直道最高速度的设计或策略动作。,DRS使用分析、直道速度提升策略。,drag reduction（阻力降低）是通用描述，DRS（Drag Reduction System）是特定的规则允许系统；两者不可互换。,RE2024
O-020,strategy_operations,power mode,功率模式,,动力模式,动力单元在不同工况下的功率输出配置，通常分为超高功率（party/push mode）、标准赛车（race mode）和节能保护（engine save mode）等多个档位；每个赛季可使用的动力单元数量限制使得功率模式管理成为关键。,赛中策略指令、超车和防守段落的能量管理。,功率模式选择受发动机使用寿命和剩余赛程安排约束；不可无限制使用高功率模式。,RE2024
O-021,strategy_operations,sector time,分段圈速,,赛道区段时间,将赛道划分为三个区段后分别计时的性能指标，可以定位赛车在哪个赛道区段有竞争优势或劣势，是策略和调校决策的重要参考。,赛车性能诊断、赛道特定区段设定优化。,分段圈速是诊断工具；赛车可能总体圈速慢但在某些区段有优势，需结合全圈分析。,RE2024
O-022,strategy_operations,stint,行程/换胎间隔,,一段,两次进站（或起跑到第一次进站/最后一次进站到终点）之间的连续行驶圈数，是轮胎管理和策略规划的基本时间单位。,进站策略分析、轮胎衰减速率计算。,stint长度由轮胎寿命预期决定；长stint要求更强的轮胎管理，短stint允许更激进的驾驶风格。,RE2017
O-023,strategy_operations,virtual safety car (VSC),虚拟安全车,,VSC,在赛道有局部危险区域时启用的部分速度限制规程，各赛车在赛道各区段须将圈速控制在规定时间内，比实体安全车影响更小、更灵活。,进站策略机会判断、赛道危险情况应对。,VSC与实体安全车（SC）对策略的影响不同：VSC速度差异更小，进站优势相对较低。,RE2024
O-024,strategy_operations,warm-up lap,暖胎圈,,出发前导圈,正式起跑前赛车绕赛道一圈以激活轮胎温度、刹车和发动机的准备操作，是起步阶段轮胎状态的重要管理环节。,起步策略、轮胎激活分析。,暖胎圈的激活效果因赛道长度、气温和配合物硬度不同而差异显著。,RE2017
O-025,strategy_operations,gap management,间距管理,,位置差距控制,通过调整赛车节奏主动维持与前后赛车特定时间间距的策略技术，常见场景包括：维持DRS距离优势进行超车、保持间距触发安全车优势、或保护轮胎等待时机。,赛中位置保卫与攻击策略、轮胎管理与圈速协调。,间距管理是主动策略行为，需要与赛道工程师实时配合；过于保守或过于激进都会影响整体策略执行效果。,RE2024
